商品名,価格,画像URL,URL,熱量,たんぱく質,脂質,炭水化物,糖質,食物繊維,食塩相当量
チャーシューマヨネーズおにぎり,181円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l786007.png,https://www.lawson.co.jp/recommend/original/detail/1500435_1996.html,206kcal,4.9g,3.5g,39.2g,38.1g,1.1g,1.46g
具！おにぎり　ポーク玉子(シーチキン®マヨネーズ),322円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l789897.png,https://www.lawson.co.jp/recommend/original/detail/1504108_1996.html,356kcal,12.4g,15.2g,43.3g,41.6g,1.7g,2.54g
三陸産わかめごはんおにぎり,167円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l784639.png,https://www.lawson.co.jp/recommend/original/detail/1506302_1996.html,186kcal,3.8g,1.3g,40.2g,39.4g,0.8g,1.12g
たっぷり食物繊維が摂れる　梅しそごはんおにぎり(国産もち麦入り),181円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l784652.png,https://www.lawson.co.jp/recommend/original/detail/1506442_1996.html,170kcal,4.2g,2.0g,38.0g,29.4g,8.6g,2.49g
たっぷり食物繊維が摂れる　枝豆と塩昆布おにぎり(国産もち麦入り),181円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l784649.png,https://www.lawson.co.jp/recommend/original/detail/1506443_1996.html,172kcal,5.1g,2.2g,36.9g,28.8g,8.1g,0.64g
北海道十勝産小豆　赤飯おこわ,181円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l784678.png,https://www.lawson.co.jp/recommend/original/detail/1506444_1996.html,206kcal,4.8g,1.2g,45.2g,43.0g,2.2g,1.11g
胡麻さけおにぎり,167円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l784645.png,https://www.lawson.co.jp/recommend/original/detail/1506446_1996.html,183kcal,5.1g,2.2g,36.4g,35.0g,1.4g,1.50g
和風シーチキン®マヨネーズおにぎり,181円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l784643.png,https://www.lawson.co.jp/recommend/original/detail/1506447_1996.html,257kcal,5.3g,7.1g,43.7g,42.4g,1.3g,1.54g
プレミアムおにぎり　いくら醤油漬,308円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l786918.png,https://www.lawson.co.jp/recommend/original/detail/1507091_1996.html,193kcal,5.0g,1.7g,40.2g,38.8g,1.4g,1.37g
プレミアムおにぎり　焼さけハラミ,297円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l786917.png,https://www.lawson.co.jp/recommend/original/detail/1507092_1996.html,204kcal,6.6g,3.3g,37.5g,36.6g,0.9g,1.50g
プレミアムおにぎり　熟成生たらこ,275円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l786936.png,https://www.lawson.co.jp/recommend/original/detail/1507291_1996.html,197kcal,5.7g,1.2g,41.3g,40.3g,1.0g,1.14g
大きなおにぎり　鮭,289円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l787354.png,https://www.lawson.co.jp/recommend/original/detail/1507533_1996.html,283kcal,7.7g,2.5g,58.6g,56.4g,2.2g,2.00g
手巻おにぎり　炙り熟成紅鮭,221円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l787520.png,https://www.lawson.co.jp/recommend/original/detail/1507600_1996.html,174kcal,4.8g,1.9g,35.1g,33.9g,1.2g,1.19g
手巻おにぎり　シーチキン®マヨネーズ,181円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l787518.png,https://www.lawson.co.jp/recommend/original/detail/1507601_1996.html,226kcal,4.2g,7.7g,35.7g,34.0g,1.7g,1.18g
大きなおにぎり　シーチキン®マヨネーズ,279円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l787963.png,https://www.lawson.co.jp/recommend/original/detail/1507752_1996.html,366kcal,6.8g,11.2g,60.5g,58.3g,2.2g,2.13g
味付海苔手巻おにぎり　追い鰹製法おかか,184円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l787516.png,https://www.lawson.co.jp/recommend/original/detail/1507753_1996.html,171kcal,4.3g,0.9g,37.2g,35.8g,1.4g,1.25g
手巻おにぎり　熟成紀州南高梅,184円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l787519.png,https://www.lawson.co.jp/recommend/original/detail/1507754_1996.html,169kcal,3.0g,1.0g,37.5g,36.7g,0.8g,1.62g
手巻おにぎり　熟成辛子明太子,221円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l787521.png,https://www.lawson.co.jp/recommend/original/detail/1507755_1996.html,174kcal,5.1g,1.1g,36.6g,35.2g,1.4g,1.37g
手巻おにぎり　北海道産日高昆布,184円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l787525.png,https://www.lawson.co.jp/recommend/original/detail/1507756_1996.html,173kcal,3.5g,0.9g,38.6g,36.8g,1.8g,1.34g
プレミアムおにぎり　塩にぎり,149円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l786939.png,https://www.lawson.co.jp/recommend/original/detail/1509134_1996.html,207kcal,3.5g,1.1g,46.2g,45.4g,0.8g,0.85g
おにぎりおかずセット(シーチキン®マヨネーズ・鮭),419円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l794657.png,https://www.lawson.co.jp/recommend/original/detail/1510979_1996.html,503kcal,15.9g,16.4g,74.8g,71.3g,3.5g,2.48g
おにぎり2個入り　シーチキン®マヨネーズ・胡麻さけ,308円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l796621.png,https://www.lawson.co.jp/recommend/original/detail/1511863_1996.html,363kcal,9.5g,8.7g,63.2g,60.0g,3.2g,2.19g
浅草宿六監修　プレミアムおにぎり　紅鮭ほぐし　柚子胡椒仕立て,279円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l797441.png,https://www.lawson.co.jp/recommend/original/detail/1512363_1996.html,191kcal,7.0g,1.6g,38.1g,36.4g,1.7g,1.25g
プレミアムおにぎり　黒毛和牛カルビと卵黄,322円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l797442.png,https://www.lawson.co.jp/recommend/original/detail/1512673_1996.html,249kcal,6.5g,6.1g,42.7g,41.2g,1.5g,1.52g
大きなおにぎり　沢庵としそわかめ,246円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l798419.png,https://www.lawson.co.jp/recommend/original/detail/1513244_1996.html,264kcal,6.2g,2.7g,55.1g,52.4g,2.7g,1.74g
だしおにぎり　日高昆布,138円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l799381.png,https://www.lawson.co.jp/recommend/original/detail/1513407_1996.html,182kcal,3.4g,0.8g,40.8g,40.0g,0.8g,1.21g
具！おにぎり　まるで海老天丼,354円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l799700.png,https://www.lawson.co.jp/recommend/original/detail/1513579_1996.html,298kcal,7.5g,6.3g,53.8g,51.8g,2.0g,2.59g
阿波尾鶏の鶏五目おにぎり,181円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l799701.png,https://www.lawson.co.jp/recommend/original/detail/1513685_1996.html,171kcal,5.0g,1.6g,34.8g,33.7g,1.1g,1.35g
天かす小海老おにぎり(国産もち麦入り),138円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l800240.png,https://www.lawson.co.jp/recommend/original/detail/1513742_1996.html,195kcal,4.1g,3.7g,37.3g,35.3g,2.0g,1.32g
だしおにぎり　沢庵おかか,138円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l800101.png,https://www.lawson.co.jp/recommend/original/detail/1513865_1996.html,181kcal,3.4g,1.0g,40.0g,39.3g,0.7g,1.07g
照焼チキンマヨネーズおにぎり,279円(税込),https://www.lawson.co.jp/recommend/original/detail/img/l791479.png,https://www.lawson.co.jp/recommend/original/detail/1513866_1996.html,250kcal,7.4g,7.0g,40.1g,38.4g,1.7g,2.08g
